input_code,num_sims,budget,delay,budget_used,lp_budget,obj_value,lp_obj_value,gm_value,lp_runtime,lp_work,input_file,int_filename,network
PH4_S100_0,100,3,12,15,3.0000000000000013,51.59,52.50159722222099,6,6.030807018280029,4.529244389177069,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I12-B3.csv,PH
PH1_S100_0,100,5,12,16,5.000000000000001,32.73,33.21544444444633,6,1.9842209815979004,2.2029449077582237,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I12-B5.csv,PH
PH2_S100_0,100,5,12,16,5.0,29.3,29.16437500000168,6,1.1994938850402832,1.3148611941813104,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I12-B5.csv,PH
PH3_S100_0,100,5,12,16,5.0,47.16,46.37758333333291,6,6.272243022918701,5.157027029939368,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I12-B5.csv,PH
PH4_S100_0,100,5,12,16,5.0,47.16,46.37758333333291,6,6.333446025848389,5.157027029939368,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I12-B5.csv,PH
PH1_S100_0,100,7,12,16,6.999999999999999,32.33,32.124362745100186,6,1.863656997680664,1.5604768926742405,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I12-B7.csv,PH
PH2_S100_0,100,7,12,16,6.999999999999998,28.79,28.573333333334972,6,1.111097812652588,1.0807938373919077,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I12-B7.csv,PH
PH3_S100_0,100,7,12,16,7.000000000000001,45.47,44.03250000000012,6,4.705415964126587,5.374059743164878,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I12-B7.csv,PH
PH4_S100_0,100,7,12,16,7.000000000000001,45.47,44.03250000000012,6,4.492066144943237,5.374059743164878,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I12-B7.csv,PH
PH1_S100_0,100,9,12,15,9.0,31.86,31.741666666668824,6,1.447220802307129,1.0542643797811868,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I12-B9.csv,PH
PH2_S100_0,100,9,12,15,9.0,28.46,28.28250000000161,6,0.963348150253296,0.8679452919268308,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I12-B9.csv,PH
PH3_S100_0,100,9,12,16,9.0,43.72,42.6733333333336,6,4.402361869812012,4.66596960839712,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I12-B9.csv,PH
PH4_S100_0,100,9,12,16,9.0,43.72,42.6733333333336,6,4.569044828414917,4.66596960839712,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I12-B9.csv,PH
PH1_S100_0,100,1,18,4,1.0,61.53,60.58999999999672,6,2.0438928604125977,1.753421700827836,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I18-B1.csv,PH
PH2_S100_0,100,1,18,4,1.0,50.15,48.63337499999934,6,1.1358509063720703,0.967909768280648,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I18-B1.csv,PH
PH3_S100_0,100,1,18,3,1.0,127.84,124.3700000000178,6,5.936946868896484,4.28602860704777,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I18-B1.csv,PH
PH4_S100_0,100,1,18,3,1.0,127.84,124.3700000000178,6,5.525094985961914,4.28602860704777,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I18-B1.csv,PH
PH1_S100_0,100,3,18,10,3.0,48.8,49.65699999999866,6,1.5981040000915527,1.3268806677796685,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I18-B3.csv,PH
PH2_S100_0,100,3,18,11,3.000000000000001,40.59,40.62266666666716,6,0.9051840305328368,0.7892038519795235,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I18-B3.csv,PH
PH3_S100_0,100,3,18,12,3.0,90.4,90.7700000000046,6,4.137830972671509,3.5694910273216536,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I18-B3.csv,PH
